week_start_date,store_id,model_id,units_sold,unit_price,revenue
2025-09-01,BLR-01,B01,0,6999,0
2025-09-08,BLR-01,B01,1,6999,6999
2025-09-15,BLR-01,B01,2,6999,13998
2025-09-22,BLR-01,B01,0,6999,0
2025-09-29,BLR-01,B01,3,6999,20997
2025-10-06,BLR-01,B01,0,6999,0
2025-10-13,BLR-01,B01,0,6999,0
2025-10-20,BLR-01,B01,0,6999,0
2025-10-27,BLR-01,B01,1,6999,6999
2025-11-03,BLR-01,B01,0,6999,0
2025-11-10,BLR-01,B01,0,6999,0
2025-11-17,BLR-01,B01,2,6999,13998
2025-11-24,BLR-01,B01,0,6999,0
2025-12-01,BLR-01,B01,0,6999,0
2025-12-08,BLR-01,B01,0,6999,0
2025-12-15,BLR-01,B01,0,6999,0
2025-12-22,BLR-01,B01,1,6999,6999
2025-12-29,BLR-01,B01,0,6999,0
2026-01-05,BLR-01,B01,0,6999,0
2026-01-12,BLR-01,B01,0,6999,0
2026-01-19,BLR-01,B01,0,6999,0
2026-01-26,BLR-01,B01,0,6999,0
2026-02-02,BLR-01,B01,0,6999,0
2026-02-09,BLR-01,B01,0,6999,0
2026-02-16,BLR-01,B01,0,6999,0
2026-02-23,BLR-01,B01,0,6999,0
2026-03-02,BLR-01,B01,0,6999,0
2026-03-09,BLR-01,B01,0,6999,0
2026-03-16,BLR-01,B01,0,6999,0
2026-03-23,BLR-01,B01,0,6999,0
2026-03-30,BLR-01,B01,0,6999,0
2026-04-06,BLR-01,B01,0,6999,0
2026-04-13,BLR-01,B01,0,6999,0
2026-04-20,BLR-01,B01,0,6999,0
2026-04-27,BLR-01,B01,0,6999,0
2026-05-04,BLR-01,B01,0,6999,0
2026-05-11,BLR-01,B01,0,6999,0
2026-05-18,BLR-01,B01,0,6999,0
2026-05-25,BLR-01,B01,0,6999,0
2026-06-01,BLR-01,B01,0,6999,0
2026-06-08,BLR-01,B01,0,6999,0
2026-06-15,BLR-01,B01,0,6999,0
2026-06-22,BLR-01,B01,0,6999,0
2026-06-29,BLR-01,B01,1,6999,6999
2026-07-06,BLR-01,B01,0,6999,0
2026-07-13,BLR-01,B01,0,6999,0
2026-07-20,BLR-01,B01,0,6999,0
2026-07-27,BLR-01,B01,0,6999,0
2026-08-03,BLR-01,B01,0,6999,0
2026-08-10,BLR-01,B01,0,6999,0
2026-08-17,BLR-01,B01,0,6999,0
2026-08-24,BLR-01,B01,0,6999,0
2025-09-01,BLR-01,B02,0,8999,0
2025-09-08,BLR-01,B02,1,8999,8999
2025-09-15,BLR-01,B02,0,8999,0
2025-09-22,BLR-01,B02,1,8999,8999
2025-09-29,BLR-01,B02,1,8999,8999
2025-10-06,BLR-01,B02,2,8999,17998
2025-10-13,BLR-01,B02,0,8999,0
2025-10-20,BLR-01,B02,2,8999,17998
2025-10-27,BLR-01,B02,2,8999,17998
2025-11-03,BLR-01,B02,0,8999,0
2025-11-10,BLR-01,B02,0,8999,0
2025-11-17,BLR-01,B02,0,8999,0
2025-11-24,BLR-01,B02,0,8999,0
2025-12-01,BLR-01,B02,0,8999,0
2025-12-08,BLR-01,B02,0,8999,0
2025-12-15,BLR-01,B02,1,8999,8999
2025-12-22,BLR-01,B02,1,8999,8999
2025-12-29,BLR-01,B02,0,8999,0
2026-01-05,BLR-01,B02,2,8999,17998
2026-01-12,BLR-01,B02,0,8999,0
2026-01-19,BLR-01,B02,0,8999,0
2026-01-26,BLR-01,B02,0,8999,0
2026-02-02,BLR-01,B02,0,8999,0
2026-02-09,BLR-01,B02,1,8999,8999
2026-02-16,BLR-01,B02,1,8999,8999
2026-02-23,BLR-01,B02,1,8999,8999
2026-03-02,BLR-01,B02,0,8999,0
